entityId	LOC	MVG	COM	FanIn	FanOut	MPC
344	8	1	1	0	3	3
345	4	1	1	1	0	0
346	4	1	1	7	1	1
347	1	1	1	9	0	0
348	7	2	1	15	2	2
349	4	1	1	0	1	1
353	4	1	2	1	0	0
355	1	1	1	0	0	0
356	4	1	1	0	1	1
357	6	1	1	0	1	1
358	3	1	1	3	0	0
359	3	1	1	0	0	0
360	5	1	1	0	1	1
361	4	1	1	1	0	0
362	4	1	1	0	1	1
363	6	1	1	0	1	1
367	3	1	1	1	0	0
368	5	1	1	0	0	0
369	5	2	1	39	1	2
370	6	1	1	0	0	0
371	11	4	1	1	1	1
372	4	1	1	1	0	0
373	7	4	1	1	1	1
374	4	1	1	0	0	0
375	4	1	1	3	0	0
376	1	1	1	0	0	0
377	1	1	1	0	0	0
380	18	4	1	6	1	1
381	7	3	1	1	1	1
382	4	1	1	1	2	2
383	20	9	2	0	8	13
384	14	1	1	2	0	0
385	22	6	20	1	6	6
386	17	4	18	1	5	5
387	15	4	19	1	4	4
388	11	1	19	1	5	5
389	21	4	18	1	4	4
390	12	2	18	1	3	5
391	4	1	1	0	1	1
392	4	1	1	4	1	1
393	32	10	1	1	10	12
394	25	24	4	1	12	13
395	6	3	1	1	2	2
396	21	19	1	1	10	12
397	4	1	1	4	1	1
398	4	1	1	3	1	1
399	4	1	1	7	1	1
400	14	3	4	1	4	6
401	4	1	1	1	2	2
402	43	9	23	1	8	9
403	94	18	28	1	16	22
404	77	16	16	1	13	14
405	1	1	1	12	0	0
406	1	1	1	1	0	0
407	1	1	1	1	0	0
408	1	1	1	0	0	0
409	1	1	1	1	2	2
410	1	1	1	8	0	0
411	1	1	1	0	0	0
412	1	1	1	4	0	0
413	1	1	1	2	0	0
414	1	1	1	0	0	0
415	1	1	1	0	0	0
416	1	1	1	1	0	0
417	1	1	1	1	0	0
418	1	1	1	1	0	0
419	1	1	1	3	7	9
420	4	1	1	2	0	0
421	4	1	1	5	0	0
422	1	1	1	0	0	0
423	9	5	1	1	1	1
424	4	2	1	5	0	0
425	4	2	1	1	0	0
426	26	3	1	1	2	3
427	4	1	1	0	1	1
428	19	7	18	3	5	5
429	11	7	11	2	4	4
430	6	5	12	1	1	1
431	7	5	12	0	3	3
432	18	8	13	2	6	7
433	19	4	1	1	4	4
434	5	1	1	4	1	1
435	1	1	1	1	0	0
436	1	1	1	9	0	0
437	1	1	1	15	0	0
438	1	1	1	0	1	1
439	1	1	1	7	0	0
440	1	1	1	1	0	0
441	1	1	1	14	0	0
442	1	1	1	2	11	24
443	7	2	1	0	0	0
444	6	3	1	1	3	3
445	5	1	1	0	1	1
446	9	7	1	4	4	4
447	3	1	1	3	0	0
448	6	5	1	3	2	2
449	4	1	1	2	0	0
450	3	1	1	4	0	0
451	6	6	1	1	1	1
452	22	2	3	3	2	2
453	22	6	1	1	4	4
454	4	1	1	1	2	2
455	5	3	1	8	0	0
456	4	1	1	3	2	2
457	5	3	1	17	0	0
458	4	1	1	5	0	0
459	29	9	1	1	4	6
460	6	7	1	0	4	5
461	6	1	1	5	1	1
462	6	1	1	5	1	1
463	4	1	1	1	0	0
464	5	1	1	0	0	0
465	4	1	1	0	0	0
466	10	2	1	8	1	2
472	9	4	1	2	2	2
473	8	1	1	1	2	2
474	10	4	2	1	2	2
475	11	4	1	1	3	3
476	8	1	1	1	2	2
477	4	1	1	0	0	0
478	5	1	1	1	0	0
479	5	3	4	3	4	4
480	1	2	1	1	0	0
481	5	1	1	1	0	0
482	5	3	1	0	4	4
483	6	1	1	0	1	1
484	11	4	1	1	1	1
485	6	2	1	0	1	1
486	4	1	1	1	0	0
487	1	1	1	0	0	0
488	4	1	1	3	0	0
489	9	5	1	0	1	1
492	7	3	1	1	1	1
493	4	1	1	0	0	0
494	8	2	1	1	0	0
495	4	1	1	0	0	0
496	6	1	1	2	2	2
497	4	1	1	4	0	0
498	8	4	1	1	1	1
499	7	4	1	0	1	1
500	8	5	1	1	1	1
501	46	4	6	1	2	2
502	4	1	1	0	0	0
503	4	1	1	1	0	0
504	4	1	1	0	0	0
505	4	1	1	1	0	0
508	4	1	1	0	0	0
509	1	1	1	0	0	0
510	1	1	1	0	0	0
511	58	10	3	1	4	5
512	11	9	1	1	7	7
513	28	21	1	0	12	22
514	10	9	1	1	3	3
515	29	5	1	1	9	10
516	10	4	2	0	4	6
517	33	2	1	1	9	9
518	8	2	5	0	5	5
519	1	1	1	0	0	0
520	4	1	13	0	1	1
521	4	1	1	2	2	2
522	6	1	1	0	1	2
523	7	3	1	2	2	2
524	11	4	1	0	2	2
525	4	1	1	1	0	0
526	4	1	1	0	0	0
527	4	1	1	0	0	0
528	5	3	1	0	0	0
531	18	4	1	0	3	3
532	7	3	1	1	2	2
533	3	1	1	1	0	0
534	11	1	3	0	1	2
535	4	1	1	2	1	1
536	10	1	1	1	2	7
537	6	1	1	0	0	0
538	7	1	1	2	0	0
539	24	6	2	1	2	2
540	4	1	1	1	1	1
541	8	2	1	2	1	1
542	5	1	1	2	0	0
543	2	1	1	0	0	0
544	4	1	1	5	0	0
545	11	3	1	1	1	1
546	11	4	1	0	0	0
547	7	4	1	0	1	1
548	4	1	1	0	0	0
549	9	1	1	0	2	2
550	7	1	1	0	1	1
551	6	1	1	6	0	0
552	4	1	1	6	1	1
553	4	1	1	1	0	0
554	1	1	1	2	1	1
555	4	1	1	0	1	1
556	15	3	1	1	2	2
557	24	6	7	1	2	2
558	10	1	1	1	1	1
559	16	3	1	1	3	3
560	47	12	38	3	8	11
561	17	3	7	0	4	5
562	11	1	1	0	2	2
563	4	1	1	0	2	2
564	4	1	1	5	0	0
565	4	1	1	3	0	0
568	17	5	1	0	5	9
569	20	1	1	2	1	1
570	4	1	1	6	0	0
571	6	1	1	1	1	1
572	5	1	1	2	0	0
573	5	1	1	0	0	0
574	8	1	1	0	3	4
575	5	1	1	0	2	2
576	7	3	1	1	1	1
577	7	1	1	0	0	0
578	8	4	1	1	5	5
579	13	5	1	1	1	1
580	4	1	1	1	0	0
581	16	6	10	1	1	1
582	9	1	4	2	3	3
583	16	1	16	0	4	4
584	7	4	1	2	1	1
585	4	1	1	1	0	0
586	4	2	1	1	1	1
587	4	1	1	0	2	2
588	4	1	1	5	0	0
589	4	1	1	0	0	0
590	7	4	1	0	1	1
593	11	1	1	0	1	1
594	19	2	1	0	2	2
595	13	2	1	2	1	1
596	6	1	1	0	1	1
597	12	5	1	1	1	1
598	4	1	1	1	0	0
599	5	1	1	2	0	0
600	8	1	20	0	5	5
601	5	1	1	0	2	2
602	6	3	1	1	4	4
603	20	4	1	0	5	5
606	9	3	1	1	1	1
607	7	2	1	1	3	3
608	5	3	1	0	4	4
609	6	4	1	1	5	7
610	8	3	1	2	1	1
611	8	3	1	2	1	1
612	14	3	1	2	4	4
613	5	1	3	63	3	3
614	6	1	1	0	3	3
615	12	7	1	0	2	2
616	4	1	1	0	2	2
617	4	1	1	5	0	0
618	4	1	1	0	0	0
619	4	1	1	3	0	0
620	4	1	1	3	0	0
621	4	1	1	1	0	0
622	4	1	1	0	0	0
623	4	1	1	0	0	0
624	4	1	1	2	0	0
625	23	13	1	2	3	3
626	10	6	1	0	1	1
629	20	6	4	1	3	3
630	33	7	1	0	4	4
631	28	1	1	0	1	1
632	7	2	1	1	2	2
633	9	4	6	0	1	3
634	10	4	1	0	1	1
635	10	1	1	0	0	0
636	8	2	1	1	1	1
637	10	6	1	1	1	1
638	13	3	1	0	6	6
F639	4	1	1	0	1	1
F640	2	1	1	0	0	0
F641	4	1	1	1	0	0
F642	4	1	1	1	0	0
F643	4	1	1	1	0	0
F644	4	1	1	1	0	0
F645	4	1	1	1	0	0
F646	12	5	1	0	5	5
F647	4	1	1	1	1	1
F648	6	1	1	2	0	0
F649	8	1	1	0	0	0
F650	4	1	1	1	0	0
F651	4	1	1	10	0	0
F652	4	1	1	38	0	0
F653	14	1	1	4	0	0
F654	12	3	1	6	1	1
F655	29	7	4	1	5	5
F656	5	1	1	1	0	0
F657	4	1	1	1	0	0
F658	4	1	1	1	0	0
F659	18	3	3	1	8	9
F660	16	3	28	0	4	4
F661	6	1	1	1	1	1
F662	13	3	1	2	1	1
F663	25	4	44	2	5	5
F664	185	59	10	2	42	42
F665	4	1	17	1	1	1
F666	77	37	1	1	2	3
F667	14	5	1	4	1	1
F668	19	6	1	1	4	4
F669	5	1	1	1	1	1
F670	116	55	7	0	50	54
F671	33	8	22	1	4	4
F672	36	9	23	1	4	5
F673	38	11	23	1	5	6
F674	31	8	22	1	4	4
F675	25	6	22	1	3	3
F676	27	6	22	1	3	3
F677	26	6	22	1	3	3
F678	36	10	21	1	5	6
F679	24	6	22	1	4	4
F680	4	1	16	1	1	1
F681	44	11	22	1	4	5
F682	80	1	5	1	0	0
F683	37	7	22	1	5	6
F684	30	7	23	1	5	6
F685	30	7	22	1	5	6
F686	36	4	6	0	1	1
F687	55	14	25	1	5	7
F688	42	11	23	1	4	4
F689	30	8	21	1	4	4
F690	41	12	22	1	4	6
F691	16	4	22	1	3	3
F692	4	1	15	1	0	0
F693	25	6	22	1	4	4
F694	51	12	24	1	4	7
F695	40	9	24	1	3	4
F696	12	3	1	6	1	1
F697	43	10	1	1	1	1
F698	3	1	1	1	0	0
F699	30	7	22	1	6	6
F700	5	1	2	1	3	3
F701	52	11	15	5	6	11
F702	39	8	19	4	6	9
F703	10	2	4	0	4	5
F704	11	3	1	1	3	3
F705	20	6	2	1	5	5
F706	22	8	1	1	6	6
F707	26	1	1	1	0	0
F708	37	11	1	1	6	6
F709	9	1	1	1	0	0
F710	14	5	1	3	1	1
F711	21	8	1	1	5	5
F712	5	1	1	1	1	1
F713	3	1	1	2	0	0
F714	19	7	1	6	1	1
F715	4	1	1	1	0	0
F716	13	3	1	2	1	1
F717	14	5	1	1	1	1
F718	4	1	1	1	0	0
F719	3	1	1	0	0	0
F720	7	2	1	1	1	1
F721	41	13	13	0	9	9
F722	4	1	1	1	0	0
F723	4	1	1	3	0	0
F724	4	1	1	2	0	0
F725	24	10	7	3	7	10
F726	13	3	3	1	4	4
F727	7	3	2	2	4	4
F728	15	3	3	1	4	4
F729	7	3	1	2	4	4
F730	4	1	19	10	2	2
F731	8	3	19	7	3	3
F732	25	8	27	1	4	4
F733	4	1	18	3	1	1
F734	4	1	1	2	0	0
F735	25	6	47	3	4	5
F736	32	6	47	3	4	5
F737	4	1	1	1	0	0
F738	4	1	1	1	0	0
F739	4	1	1	1	0	0
F740	14	2	7	1	4	4
F741	10	2	2	1	4	4
F742	4	1	1	1	0	0
F743	4	1	1	1	0	0
F744	23	1	34	1	6	7
F745	132	31	100	1	15	19
F746	80	19	16	0	3	3
F747	21	3	1	0	6	7
F748	12	2	1	1	3	3
F749	18	4	2	2	6	6
F750	9	1	2	1	3	3
F751	12	3	1	2	5	5
F752	23	5	2	1	4	4
F753	13	1	8	3	3	3
F754	35	8	13	3	9	9
F755	31	6	4	4	6	8
F756	48	7	4	4	9	16
F757	17	4	1	1	3	3
F758	5	1	1	1	1	1
F759	79	13	10	2	9	9
F760	10	1	1	1	3	3
F761	18	4	1	1	6	6
F762	14	5	1	7	1	1
F763	16	4	2	25	5	5
F764	14	8	2	0	7	7
F765	20	4	2	2	5	5
F766	48	11	3	1	5	6
F767	20	5	1	1	0	0
F768	59	13	1	0	2	2
F769	25	12	1	1	7	7
F770	5	1	1	1	1	1
F771	14	5	1	1	1	1
F772	21	6	1	1	0	0
F773	27	6	1	1	0	0
F774	18	4	1	1	2	2
F775	14	5	1	1	1	1
F776	26	13	1	1	8	8
F777	20	4	1	1	2	2
F778	57	13	62	1	10	10
F779	21	4	1	1	4	4
F780	14	1	2	0	1	1
F781	21	6	1	1	4	4
F782	8	1	1	1	1	1
F783	13	6	1	1	1	1
F784	11	4	2	0	4	4
F785	125	30	60	3	15	19
F786	27	7	10	1	3	3
F787	22	7	3	1	2	3
F788	38	9	24	1	5	6
F789	40	10	24	1	6	7
F790	14	2	1	1	0	0
F791	12	3	2	1	6	8
F792	20	2	5	2	3	3
F793	34	4	1	1	2	2
F794	3	1	1	1	0	0
F795	12	1	1	1	0	0
F796	11	1	1	1	0	0
F797	19	3	1	1	7	9
F798	18	2	1	1	1	1
F799	20	5	4	1	6	7
F800	28	7	22	1	6	6
F801	11	1	1	1	0	0
F802	3	1	1	1	0	0
F803	7	1	1	2	0	0
F804	3	1	1	1	0	0
F805	14	3	1	1	1	2
F806	38	11	6	1	3	3
F807	32	10	6	1	2	2
F808	4	1	1	1	0	0
F809	33	3	1	0	5	5
F810	11	3	2	0	4	4
F811	17	6	24	4	1	1
F812	44	9	67	5	7	7
F813	39	8	56	5	7	7
F814	11	2	1	1	2	2
F815	16	3	1	1	3	3
F816	17	1	3	0	0	0
F817	12	1	1	0	0	0
F818	10	1	1	0	0	0
F819	10	1	2	0	0	0
F820	10	1	2	0	0	0
F821	9	1	2	0	0	0
F822	10	1	1	0	0	0
F823	12	1	22	0	0	0
F824	7	1	1	0	0	0
F825	1	1	1	2	0	0
F827	12	1	2	0	0	0
F828	10	1	3	0	0	0
F829	11	1	1	0	0	0
F830	10	1	2	0	0	0
F831	11	1	1	0	0	0
F832	10	1	3	0	0	0
F833	7	1	2	0	0	0
F834	11	1	3	0	0	0
F835	9	1	2	0	0	0
F836	7	1	1	0	0	0
F837	7	1	2	0	0	0
F838	10	1	13	0	0	0
F839	9	1	11	0	0	0
F840	11	1	1	0	0	0
F841	7	1	1	0	0	0
F842	10	1	2	0	0	0
F843	9	1	2	0	0	0
F844	10	1	2	0	0	0
F845	9	1	1	0	0	0
F846	10	1	3	0	0	0
F847	11	1	16	0	0	0
F848	10	1	15	0	0	0
F849	10	1	1	0	0	0
F850	10	1	2	0	0	0
F851	10	1	1	0	0	0
F852	17	1	8	0	0	0
F853	11	1	2	0	0	0
F854	10	1	2	0	0	0
F855	10	1	3	0	0	0
F856	10	1	2	0	0	0
F857	9	1	1	0	0	0
F858	10	1	3	0	0	0
F859	17	1	9	0	0	0
F860	9	1	1	0	0	0
F861	18	4	2	0	3	3
F862	10	1	2	0	0	0
F863	17	1	1	0	0	0
F864	11	2	2	0	0	0
F865	10	1	2	0	0	0
F866	10	1	1	0	0	0
F867	21	2	3	0	0	0
