entityId	LOC	MVG	COM	FanIn	FanOut	MPC
F145	12	3	1	6	0	0
F146	29	7	4	1	1	1
F147	22	4	7	0	1	1
F148	42	8	16	0	0	0
F149	6	1	1	1	1	1
F150	13	3	1	2	0	0
F151	12	5	12	1	0	0
F152	31	7	44	2	2	2
F153	221	70	10	0	44	45
F154	17	3	18	1	0	0
F155	77	37	1	1	1	2
F156	20	7	5	0	0	0
F157	14	5	1	4	0	0
F158	19	6	1	1	4	4
F159	5	1	1	1	1	1
F160	132	63	8	0	57	61
F161	33	8	22	1	1	1
F162	36	9	23	1	1	1
F163	38	11	23	1	1	1
F164	31	8	22	1	1	1
F165	25	6	22	1	1	1
F166	27	6	22	1	1	1
F167	26	6	22	1	1	1
F168	41	11	25	1	1	1
F169	33	8	23	1	1	1
F170	4	1	16	1	0	0
F171	44	11	22	1	1	1
F172	91	1	7	1	0	0
F173	22	6	20	1	1	1
F174	17	4	18	1	1	1
F175	15	4	19	1	1	1
F176	52	9	20	1	0	0
F177	21	4	18	1	1	1
F178	10	2	18	1	0	0
F179	37	7	22	1	2	2
F180	30	7	23	1	2	2
F181	31	7	22	1	2	3
F182	36	4	6	1	1	1
F183	55	14	25	1	1	2
F184	42	11	23	1	1	1
F185	30	8	21	1	1	1
F186	41	12	22	1	1	1
F187	16	4	22	1	0	0
F188	4	1	15	1	0	0
F189	46	8	23	1	1	1
F190	53	13	24	1	1	2
F191	45	11	24	1	1	1
F192	16	4	1	1	1	1
F193	33	9	21	1	2	3
F194	11	4	15	1	1	1
F195	12	3	1	6	0	0
F196	43	10	1	1	0	0
F197	30	7	22	1	1	1
F198	21	5	2	1	0	0
F199	102	24	15	2	1	3
F200	75	24	19	4	1	3
F201	88	20	52	0	2	2
F202	50	13	3	1	1	1
F203	10	3	1	1	0	0
F204	19	6	2	1	0	0
F205	22	8	1	1	6	6
F206	26	1	1	1	0	0
F207	37	11	1	1	6	6
F208	9	1	1	1	0	0
F209	14	5	1	3	0	0
F210	21	8	1	1	5	5
F211	5	1	1	1	1	1
F212	19	7	1	6	1	1
F213	15	3	11	2	0	0
F214	18	6	16	2	0	0
F215	14	4	16	2	0	0
F216	31	8	14	3	0	0
F217	25	9	13	2	0	0
F218	5	1	12	1	0	0
F219	13	3	1	2	0	0
F220	14	5	1	1	0	0
F221	36	3	37	3	2	2
F222	7	2	1	1	0	0
F223	21	6	17	1	0	0
F224	20	3	27	1	2	2
F225	40	13	12	0	3	3
F226	44	14	14	3	1	1
F227	29	3	2	1	1	1
F228	18	3	2	3	1	1
F229	29	3	2	1	1	1
F230	18	3	1	3	1	1
F231	15	5	27	10	0	0
F232	21	8	20	6	1	1
F233	36	10	42	1	0	0
F234	39	11	41	1	1	1
F235	15	5	19	4	0	0
F236	30	13	47	3	2	3
F237	37	13	47	3	2	3
F238	13	6	15	1	0	0
F239	10	5	12	1	0	0
F240	42	7	8	1	2	2
F241	26	12	2	2	0	0
F242	21	4	3	2	2	2
F243	63	9	35	1	0	0
F244	192	53	97	2	4	5
F245	80	19	16	0	0	0
F246	21	3	1	0	3	3
F247	12	2	1	1	1	1
F248	18	4	2	1	1	1
F249	21	5	2	1	0	0
