fileId	fileName	nrOfEntities	nrOfClasses
1	'A/sst/stubs/C/c.hpp'	11	6
10	'A/export/X.h'	36	2
11	'D/D.h'	23	5
12	'A/Y.h'	10	2
13	'A/export/E.h'	44	2
14	'A/export/F.h'	7	1
15	'A/G.h'	10	1
2	'A/export/H.h'	21	4
21	'A/a.cpp'	141	0
23	'A/sst/I.cpp'	61	0
24	'A/b.cpp'	67	0
25	'A/J.cpp'	2	0
26	'A/sst/stubs/K/M.cpp'	2	0
27	'A/sst/stubs/L/N.cpp'	10	0
28	'A/O.cpp'	4	0
29	'A/sst/stubs/P/Q.cpp'	5	0
3	'A/R.h'	38	6
4	'E/S.h'	9	1
5	'E/export/T.h'	14	1
6	'E/export/U.h'	34	5
7	'A/export/V.h'	8	1
8	'A/export/W.h'	18	1
9	'A/export/X.h'	12	1
