entityId	LOC	MVG	COM	FanIn	FanOut	MPC
419	4	1	1	0	0	0
420	6	1	1	1	0	0
426	16	1	1	12	0	0
430	12	3	1	1	4	4
431	3	1	1	0	2	2
434	5	1	1	2	1	1
439	3	1	1	1	0	0
440	3	1	1	2	0	0
441	3	1	1	1	0	0
442	3	1	1	1	0	0
443	3	1	1	1	0	0
446	3	1	1	1	2	2
449	1	1	1	1	0	0
450	20	1	1	0	0	0
451	9	1	1	0	0	0
452	47	10	1	0	0	0
453	16	7	1	12	0	0
457	4	1	1	0	0	0
460	8	3	1	0	0	0
461	36	7	1	0	0	0
462	6	1	1	0	0	0
463	73	16	4	0	0	0
464	13	2	1	0	0	0
465	15	1	1	0	0	0
466	19	4	1	0	0	0
467	12	1	1	11	0	0
468	4	1	1	0	0	0
469	7	1	1	7	0	0
470	42	7	1	0	0	0
471	17	4	1	0	0	0
472	5	1	1	0	0	0
473	3	1	1	0	1	1
474	9	1	1	0	2	2
475	1	1	1	0	0	0
476	4	1	1	0	0	0
477	4	1	1	0	0	0
478	3	1	1	0	0	0
479	3	1	1	0	0	0
480	3	1	1	0	0	0
481	13	1	1	0	3	3
482	3	1	1	0	0	0
483	36	11	1	0	2	2
484	1	1	1	0	0	0
485	14	1	1	0	2	7
486	18	4	1	0	5	5
487	22	5	1	0	5	5
488	3	1	1	0	0	0
489	7	1	1	0	1	1
490	8	1	1	1	2	2
494	16	4	1	6	1	1
495	14	3	1	2	0	0
498	4	1	1	0	0	0
499	10	3	1	4	0	0
500	7	1	1	0	0	0
501	24	4	1	4	0	0
502	18	3	1	1	0	0
504	14	4	1	3	0	0
505	3	1	1	0	0	0
506	6	1	1	0	0	0
507	26	11	2	0	0	0
508	4	1	1	0	0	0
509	6	3	1	0	0	0
511	27	11	2	0	0	0
512	6	1	1	0	0	0
513	27	11	2	0	0	0
515	23	4	1	0	0	0
516	6	1	1	0	0	0
517	6	1	1	0	0	0
518	4	1	1	0	0	0
519	6	1	1	1	0	0
520	28	11	2	0	0	0
521	3	1	1	0	0	0
529	2	1	1	0	0	0
530	1	1	1	0	0	0
531	1	1	1	0	0	0
532	6	3	1	0	0	0
533	3	1	1	0	0	0
534	9	4	1	0	1	1
535	3	1	1	0	0	0
536	3	1	1	0	0	0
537	12	5	1	0	1	1
538	3	1	1	0	0	0
539	13	5	2	0	2	2
540	18	2	1	0	1	1
541	15	5	1	0	1	1
542	24	7	1	0	1	1
544	6	3	1	0	0	0
545	4	1	1	28	0	0
546	13	3	1	0	0	0
547	6	1	1	0	0	0
548	1	1	1	0	0	0
549	1	1	1	0	0	0
550	1	1	1	0	0	0
551	3	1	1	0	0	0
552	3	1	1	0	0	0
553	3	1	3	1	0	0
554	3	1	1	0	0	0
555	15	5	1	0	0	0
556	3	1	1	0	0	0
557	13	4	1	0	1	1
558	1	1	1	0	0	0
559	7	1	1	0	0	0
560	14	3	1	0	3	3
561	24	5	1	0	3	3
562	3	1	1	0	0	0
563	4	1	31	0	0	0
564	22	1	1	0	0	0
565	1	1	1	0	0	0
566	22	7	2	0	0	0
567	16	4	2	0	0	0
568	9	1	2	0	0	0
569	17	5	1	0	0	0
570	46	10	6	0	0	0
571	3	1	1	0	0	0
572	3	1	3	0	0	0
573	3	1	1	0	0	0
574	3	1	1	0	0	0
575	3	1	1	0	0	0
576	3	1	1	0	0	0
577	13	1	1	0	0	0
578	3	1	1	0	0	0
579	16	6	4	0	0	0
580	17	6	1	0	0	0
581	3	1	1	0	0	0
582	7	1	1	0	0	0
583	1	1	1	0	0	0
584	19	1	1	0	0	0
585	31	9	1	0	0	0
586	35	10	1	0	0	0
587	9	1	2	0	0	0
588	3	1	31	0	0	0
589	11	1	3	0	0	0
590	1	1	1	0	0	0
591	4	1	1	0	0	0
592	14	6	1	0	0	0
593	3	1	1	0	0	0
594	3	1	1	0	0	0
595	3	1	1	6	0	0
596	3	1	1	0	0	0
597	3	1	3	1	0	0
598	13	4	3	0	0	0
599	3	1	1	0	0	0
600	8	1	1	0	0	0
601	1	1	1	0	0	0
602	15	1	1	0	0	0
603	6	1	1	0	0	0
604	47	11	8	0	0	0
605	3	1	1	0	0	0
606	7	1	31	0	0	0
607	6	1	6	0	0	0
608	4	1	1	0	0	0
609	4	1	1	0	0	0
610	5	1	1	0	0	0
611	6	1	1	0	0	0
612	8	1	1	10	0	0
613	29	7	1	0	0	0
614	3	1	1	0	0	0
615	4	1	1	0	0	0
616	7	1	1	0	0	0
617	3	1	1	0	0	0
630	6	1	3	2	0	0
632	1	1	1	0	0	0
633	1	1	1	2	0	0
634	1	1	1	0	0	0
635	1	1	1	0	0	0
636	3	1	1	0	1	1
637	3	1	1	0	0	0
639	5	1	3	0	0	0
641	12	4	10	0	1	1
645	15	1	11	0	6	6
646	1	1	1	1	0	0
647	15	4	12	0	3	3
648	7	1	10	0	1	1
650	4	1	11	0	1	1
651	3	1	1	0	0	0
653	1	1	1	0	0	0
654	1	1	1	0	0	0
655	1	1	1	0	0	0
656	1	1	1	0	0	0
657	3	1	1	0	0	0
658	5	1	1	0	0	0
659	27	8	1	0	0	0
660	1	1	1	0	0	0
661	3	1	1	0	1	1
662	4	1	1	0	0	0
663	30	11	1	0	0	0
664	3	1	1	1	0	0
665	3	1	1	1	0	0
666	5	1	1	1	0	0
667	1	1	1	1	1	1
668	25	7	3	0	0	0
669	9	1	1	0	0	0
670	12	1	1	0	0	0
671	3	1	1	0	0	0
672	30	15	6	0	0	0
673	3	1	1	0	0	0
674	3	1	1	0	0	0
675	5	2	1	0	1	1
676	5	3	1	0	0	0
677	3	1	1	0	0	0
678	4	1	1	0	0	0
679	1	1	1	0	0	0
680	5	2	1	0	0	0
681	1	1	1	2	0	0
682	1	1	1	2	0	0
683	3	1	1	0	0	0
684	20	7	1	0	0	0
685	4	1	1	0	1	1
686	17	4	6	0	0	0
687	1	1	1	1	0	0
688	6	1	1	0	0	0
689	1	1	1	2	0	0
690	1	1	1	1	0	0
691	2	1	1	0	0	0
692	46	15	1	0	0	0
693	3	1	1	0	0	0
694	15	5	1	3	0	0
695	6	1	4	1	0	0
696	7	1	1	0	0	0
697	6	1	1	0	0	0
698	4	1	34	6	0	0
699	5	1	1	0	0	0
700	11	3	1	0	0	0
701	4	1	1	0	0	0
702	4	1	1	1	0	0
703	5	1	1	0	0	0
704	4	1	1	0	0	0
705	3	1	1	0	0	0
706	8	1	1	0	0	0
707	4	1	1	0	0	0
708	1	1	1	0	0	0
709	30	5	6	0	0	0
710	46	24	22	0	0	0
711	4	1	1	0	0	0
712	6	1	1	0	0	0
713	48	21	4	0	0	0
714	6	1	1	0	0	0
715	5	1	1	0	0	0
716	5	1	1	0	0	0
717	10	1	1	0	0	0
718	5	1	1	0	0	0
719	20	3	1	0	0	0
720	18	5	2	0	0	0
721	4	1	3	0	0	0
722	5	1	1	0	0	0
723	6	1	1	0	0	0
724	5	1	1	0	0	0
725	5	1	1	0	0	0
726	10	1	1	0	0	0
727	21	5	1	0	0	0
728	5	1	1	0	0	0
729	1	1	1	1	0	0
730	1	1	1	1	0	0
731	2	1	1	1	0	0
733	2	1	1	1	0	0
734	1	1	1	0	0	0
735	2	1	1	0	0	0
736	4	1	1	0	1	1
737	3	1	1	0	0	0
738	3	1	1	0	0	0
739	4	1	1	0	1	1
740	4	1	1	0	0	0
741	1	1	1	0	0	0
742	4	1	1	0	0	0
743	3	1	1	0	0	0
744	3	1	1	0	0	0
745	4	1	1	0	1	1
746	4	1	1	0	0	0
747	1	1	1	0	0	0
748	24	4	1	0	0	0
749	4	1	1	0	2	2
750	1	1	1	0	0	0
751	4	1	1	0	2	2
752	1	1	1	0	0	0
753	4	1	1	0	0	0
754	14	2	1	0	0	0
755	1	1	1	0	0	0
756	1	1	1	0	0	0
757	1	1	1	0	0	0
758	6	1	1	0	3	3
759	1	1	1	0	0	0
760	4	1	1	0	2	2
761	4	1	1	0	2	2
762	1	1	1	1	0	0
763	1	1	1	0	0	0
764	1	1	1	0	0	0
765	15	1	1	0	6	12
766	1	1	1	1	0	0
767	13	3	1	0	0	0
768	1	1	1	0	0	0
769	4	1	1	0	1	1
770	3	1	1	0	0	0
771	3	1	1	0	0	0
772	3	1	1	0	1	1
773	4	1	1	0	0	0
775	14	4	1	7	5	5
779	4	1	3	1	0	0
786	19	4	2	7	2	2
787	14	3	1	7	3	3
788	9	3	1	2	2	2
789	21	3	2	7	3	3
790	17	3	2	5	2	2
791	9	1	1	7	4	4
792	10	1	1	3	4	4
793	4	1	1	5	1	1
